intern_id,sprints_done,sprints_total,tasks_completed,tasks_assigned,meetings_attended,meetings_total,code_review_score,deadline_met_percentage,attendance_percentage,punctuality
RX0033,6,7,10,11,17,19,87.4,75.39,98.92,1
RX0034,4,5,14,14,15,15,85.89,84.63,97.77,1
RX0035,2,7,2,8,3,20,37.1,22.92,52.3,0
RX0036,4,6,10,14,15,24,59.68,71.22,63.42,1
RX0037,1,4,3,9,3,24,27.69,38.35,41.63,0
RX0038,1,4,1,11,1,18,22.13,31.9,41.02,0
RX0039,1,6,2,11,7,16,40.16,29.84,43.1,0
RX0040,3,4,6,9,12,20,51.12,70.57,69.0,1
RX0041,4,4,10,12,21,21,96.84,79.86,91.17,1
RX0042,2,6,4,11,4,16,41.44,21.23,47.98,0
RX0043,2,7,2,14,2,19,48.88,45.08,53.92,0
RX0044,4,4,7,9,16,16,90.98,92.86,94.9,1
RX0045,4,4,12,12,17,19,94.6,76.19,93.49,1
RX0046,1,4,1,13,7,19,21.22,45.66,54.07,0
RX0047,4,5,10,12,14,15,63.02,59.96,75.4,0
RX0048,6,7,6,9,11,17,65.03,63.48,77.1,1
RX0049,1,5,3,8,8,18,40.32,37.2,42.57,0
RX0050,5,6,12,12,12,15,93.03,80.17,89.11,1
RX0051,1,5,1,9,2,17,40.49,22.14,46.38,0
RX0052,4,5,8,13,10,17,64.88,67.32,68.71,0
RX0053,7,7,6,8,23,23,83.55,93.77,97.1,1
RX0054,6,6,10,11,14,15,91.61,96.68,93.43,1
RX0055,5,6,12,14,14,17,87.55,88.36,92.45,1
RX0056,4,5,10,10,15,15,80.22,97.63,86.37,1
RX0057,2,7,4,14,2,17,38.96,33.45,45.86,0
RX0058,6,7,10,12,21,21,95.79,77.28,92.42,1
RX0059,1,5,2,14,3,19,46.63,30.53,42.34,0
RX0060,5,5,9,11,19,20,88.52,80.56,90.95,1
RX0061,1,5,1,9,6,19,49.6,31.23,47.41,0
RX0062,5,6,6,8,18,18,87.53,77.09,96.66,1
RX0063,5,6,6,9,16,17,63.03,56.34,70.13,1
RX0064,4,7,8,14,12,21,70.43,55.94,70.01,1
RX0065,4,4,7,8,17,19,96.04,99.45,93.34,1
RX0066,1,4,5,13,4,19,36.62,49.08,50.46,0
RX0067,4,4,14,14,12,15,93.94,84.61,96.06,1
RX0068,2,7,4,13,5,22,28.32,25.64,49.27,0
RX0069,5,7,9,11,11,19,57.8,61.33,60.81,0
RX0070,4,4,10,12,14,17,98.81,85.42,93.72,1
RX0071,5,5,12,13,18,19,88.23,94.44,92.21,1
RX0072,1,4,1,10,9,24,49.1,45.26,56.77,0
RX0073,2,4,8,14,18,19,52.26,67.29,73.36,0
RX0074,3,6,12,14,15,19,72.71,59.45,66.03,0
RX0075,2,4,11,12,15,18,76.35,68.92,61.17,0
RX0076,1,5,2,9,6,20,44.94,29.23,56.33,0
RX0077,5,5,8,10,15,15,89.6,85.51,96.77,1
RX0078,3,5,8,10,19,20,50.44,58.76,74.75,1
RX0079,1,6,2,14,1,18,35.42,43.51,47.93,0
RX0080,1,5,1,10,5,19,24.41,47.8,49.84,0
RX0081,5,5,11,12,16,17,82.58,78.2,87.28,1
RX0082,4,7,9,10,12,17,70.03,54.31,64.81,0
RX0083,4,4,10,11,17,20,90.97,88.36,90.34,1
RX0084,3,5,8,13,22,23,73.98,65.7,62.04,1
RX0085,2,6,1,12,4,24,44.19,42.45,43.69,0
RX0086,1,6,2,13,8,21,41.62,21.87,42.95,0
RX0087,1,6,6,14,2,16,30.62,31.91,42.1,0
RX0088,1,4,2,11,9,21,45.22,22.68,50.71,0
RX0089,3,4,9,11,16,18,95.78,87.46,86.3,1
RX0090,1,5,3,9,8,22,32.95,23.83,45.68,0
RX0091,5,7,7,9,18,22,68.17,55.93,62.54,1
RX0092,4,6,7,10,19,22,75.27,51.29,60.46,0
RX0093,1,5,3,9,7,18,44.51,27.74,43.42,0
RX0094,1,5,2,8,10,22,28.4,43.08,43.74,0
RX0095,6,7,6,11,10,18,65.9,67.68,79.19,1
RX0096,4,5,12,14,14,17,87.38,86.36,93.23,1
RX0097,5,7,8,12,10,18,54.16,50.07,62.92,0
RX0098,5,6,7,13,16,19,72.38,60.21,83.32,0
RX0099,5,5,10,10,15,15,94.43,76.2,96.72,1
RX0100,1,4,4,12,5,17,25.59,27.07,52.68,0
RX0101,4,7,8,12,14,23,74.5,60.98,69.42,0
RX0102,4,5,14,14,12,15,87.11,84.79,92.98,1
RX0103,7,7,10,10,15,17,98.8,90.69,90.02,1
RX0104,1,6,2,8,4,21,49.93,42.57,54.14,0
RX0105,1,6,4,13,2,20,42.87,46.3,46.84,0
RX0106,2,4,11,14,16,22,61.92,69.93,63.75,0
RX0107,4,5,14,14,17,17,90.85,81.29,90.19,1
RX0108,1,5,2,9,8,20,32.71,28.64,52.3,0
RX0109,3,4,8,13,13,23,50.54,71.8,83.3,1
RX0110,6,7,13,14,15,15,87.49,76.72,86.16,1
RX0111,4,7,9,13,12,21,53.4,74.62,80.97,1
RX0112,1,4,3,8,7,20,26.82,38.24,47.59,0
RX0113,4,4,9,11,17,19,86.67,84.95,93.06,1
RX0114,1,5,3,9,3,16,42.13,33.57,44.49,0
RX0115,2,6,3,8,6,18,21.02,29.34,55.61,0
RX0116,1,5,2,9,1,19,25.34,48.83,42.97,0
RX0117,4,5,12,14,13,22,58.99,57.75,69.93,0
RX0118,1,7,5,13,5,15,31.33,45.1,51.75,0
RX0119,4,5,13,14,14,16,88.82,85.02,93.39,1
RX0120,1,7,3,12,10,24,46.92,35.8,56.01,0
RX0121,2,7,3,9,1,22,36.55,27.62,43.92,0
RX0122,1,4,1,13,3,19,46.62,36.7,54.42,0
RX0123,2,7,3,13,4,18,40.04,26.15,45.86,0
RX0124,4,6,8,14,16,21,50.8,54.54,74.58,1
RX0125,3,5,12,14,12,18,57.78,59.49,74.76,1
RX0126,4,4,11,13,13,16,85.89,98.71,96.45,1
RX0127,5,5,9,10,21,21,83.64,87.12,92.69,1
RX0128,7,7,10,12,18,21,82.79,95.87,99.77,1
RX0129,2,4,7,9,13,19,74.68,63.24,80.38,0
RX0130,3,5,7,12,13,20,71.61,52.66,63.5,0
RX0131,6,6,9,10,20,23,83.51,97.86,91.28,1
RX0132,4,5,8,9,14,20,55.53,52.26,79.27,0
RX0133,6,6,8,10,21,21,91.33,86.9,94.96,1
RX0134,3,5,5,8,16,18,57.87,64.88,61.29,1
RX0135,1,4,2,10,10,23,34.23,30.33,47.03,0
RX0136,3,4,9,10,22,23,81.52,76.94,85.04,1
RX0137,1,5,2,13,5,17,22.75,47.52,42.74,0
RX0138,2,4,6,8,15,22,71.97,70.16,76.47,1
RX0139,4,7,5,9,22,24,78.32,50.99,77.64,0
RX0140,6,6,11,12,23,24,80.68,92.44,89.46,1
RX0141,5,6,8,12,16,18,63.65,63.06,76.11,1
RX0142,1,7,4,11,3,16,40.89,30.2,54.5,0
RX0143,2,6,1,8,9,20,42.14,35.61,48.54,0
RX0144,3,5,7,10,14,16,50.01,54.64,69.6,1
RX0145,1,6,4,13,5,15,21.13,34.39,51.62,0
RX0146,1,4,2,9,7,23,35.68,41.97,40.07,0
RX0147,5,5,12,13,16,18,84.67,76.05,85.27,1
RX0148,3,6,8,14,20,23,53.73,73.91,79.95,0
RX0149,2,7,6,14,2,22,25.01,49.74,44.63,0
RX0150,6,6,12,12,23,24,83.53,80.51,87.8,1
RX0151,2,7,5,12,7,20,46.51,47.83,59.9,0
RX0152,6,6,9,10,14,16,99.93,97.44,91.95,1
RX0153,6,7,12,14,23,23,91.6,77.29,98.16,1
RX0154,2,6,1,12,1,17,45.57,21.06,46.58,0
RX0155,3,4,9,10,22,22,87.45,81.49,95.85,1
RX0156,4,5,10,12,15,19,75.54,62.38,72.01,0
RX0157,1,5,4,10,2,22,36.31,45.93,54.68,0
RX0158,2,7,1,11,9,23,47.9,23.18,53.98,0
RX0159,1,4,1,10,9,24,20.88,44.77,42.58,0
RX0160,1,4,2,13,2,18,44.96,35.22,40.13,0
RX0161,4,5,6,8,15,15,85.2,90.85,93.1,1
RX0162,2,7,2,10,9,21,48.89,30.26,52.65,0
RX0163,2,4,10,13,17,18,73.13,73.68,64.16,1
RX0164,3,4,7,13,13,20,52.24,71.31,84.75,0
RX0165,7,7,10,10,15,18,87.67,76.64,97.32,1
RX0166,2,6,3,10,7,24,33.38,28.21,59.94,0
RX0167,5,6,8,8,18,21,93.87,80.52,86.24,1
RX0168,5,7,8,10,10,17,78.9,50.78,78.28,0
RX0169,6,6,13,13,20,23,99.68,85.23,98.41,1
RX0170,1,5,3,12,1,15,41.45,36.88,49.43,0
RX0171,2,7,1,13,5,15,43.3,43.13,56.9,0
RX0172,1,6,1,11,10,22,38.5,43.9,49.63,0
RX0173,3,6,10,13,13,18,66.75,55.64,64.02,1
RX0174,2,4,8,9,13,22,50.35,51.81,69.81,1
RX0175,2,6,1,10,1,23,48.58,47.23,54.49,0
RX0176,1,7,1,8,6,20,26.31,30.38,55.52,0
RX0177,4,7,5,9,9,15,60.52,50.83,61.96,1
RX0178,1,5,2,13,2,24,44.64,21.24,53.41,0
RX0179,1,4,3,10,9,20,48.09,21.56,50.83,0
RX0180,5,7,9,11,15,21,66.59,64.94,79.6,0
RX0181,1,6,2,11,6,16,37.8,39.51,49.59,0
RX0182,1,5,3,10,5,18,25.46,43.69,53.17,0
RX0183,2,7,2,13,6,17,29.97,36.27,49.87,0
RX0184,5,6,11,12,18,20,56.11,71.01,64.35,0
RX0185,1,5,4,12,4,19,42.06,43.03,50.1,0
RX0186,2,4,7,8,18,24,61.87,65.15,74.94,1
RX0187,4,6,8,10,19,24,60.77,59.6,71.65,0
RX0188,1,4,2,10,4,22,47.27,25.39,44.75,0
RX0189,3,5,11,12,16,20,63.11,52.43,70.13,1
RX0190,1,4,2,11,6,21,39.56,29.36,47.98,0
RX0191,1,4,1,12,8,22,31.9,27.11,44.69,0
RX0192,4,6,8,13,22,24,62.93,56.22,75.43,0
RX0193,7,7,9,11,18,19,93.28,86.87,97.66,1
RX0194,2,6,3,11,2,18,49.6,23.69,44.62,0
RX0195,2,4,10,14,16,20,78.02,57.9,72.68,1
RX0196,4,7,8,9,9,16,69.17,71.7,71.37,0
RX0197,1,5,4,14,4,20,23.77,23.98,42.87,0
RX0198,4,5,9,14,11,19,71.92,53.9,65.86,0
RX0199,4,6,6,8,13,21,57.32,70.77,81.62,0
RX0200,1,7,4,13,1,15,26.47,39.77,47.88,0
RX0201,4,4,12,13,16,16,80.96,99.43,91.1,1
RX0202,3,4,12,12,22,23,97.57,85.1,89.91,1
RX0203,4,6,6,9,19,23,63.07,70.45,63.01,1
RX0204,1,4,1,12,7,24,36.9,31.41,50.97,0
RX0205,4,4,8,8,18,20,91.74,79.21,94.64,1
RX0206,3,5,6,10,21,24,65.57,61.98,60.64,1
RX0207,6,7,7,9,17,18,87.89,88.74,96.2,1
RX0208,1,6,3,12,5,21,46.94,27.3,58.54,0
RX0209,1,7,3,12,6,16,34.58,27.7,45.7,0
RX0210,1,4,4,14,2,17,38.31,41.48,45.45,0
RX0211,3,4,8,10,20,24,65.75,67.73,62.67,1
RX0212,5,5,10,11,19,21,91.0,76.09,94.5,1
RX0213,1,4,6,14,5,20,46.53,26.84,44.24,0
RX0214,5,7,4,8,21,24,73.1,63.92,66.39,1
RX0215,6,7,9,11,20,21,52.87,65.6,71.29,1
RX0216,5,6,9,10,14,15,90.71,79.46,89.68,1
RX0217,1,7,2,10,9,23,34.9,49.63,42.73,0
RX0218,4,5,8,9,18,21,93.85,99.78,86.93,1
RX0219,2,7,2,13,4,21,22.57,46.83,43.84,0
RX0220,6,6,8,8,15,18,90.38,76.69,97.01,1
RX0221,1,7,2,13,6,17,26.92,33.71,43.81,0
RX0222,4,6,7,13,11,17,63.39,58.34,74.51,1
RX0223,3,4,14,14,22,23,90.72,77.42,91.76,1
RX0224,7,7,11,11,21,21,99.48,75.5,96.06,1
RX0225,4,4,11,12,18,20,95.76,96.62,94.13,1
RX0226,5,7,10,12,10,15,60.25,59.52,68.66,0
RX0227,3,4,9,10,19,21,92.01,87.89,98.79,1
RX0228,2,6,1,11,2,18,35.03,31.92,50.79,0
RX0229,6,6,8,9,19,20,95.8,82.62,86.21,1
RX0230,6,6,9,10,15,17,99.15,89.33,98.99,1
RX0231,2,4,7,13,16,18,64.61,65.16,79.12,0
RX0232,1,6,1,13,2,19,22.05,20.77,42.7,0
RX0233,7,7,9,11,16,18,85.56,96.29,85.0,1
RX0234,1,5,3,9,7,17,21.84,43.42,49.2,0
RX0235,3,5,5,9,21,22,62.91,54.27,61.87,1
RX0236,3,5,11,14,12,15,69.0,55.72,65.82,1
RX0237,7,7,10,11,19,21,82.61,97.17,91.75,1
RX0238,5,6,9,10,18,21,87.74,99.1,88.73,1
RX0239,3,6,12,13,12,19,70.43,54.74,75.47,0
RX0240,5,5,10,12,17,19,81.29,76.07,90.57,1
RX0241,6,7,12,14,18,18,81.96,87.21,87.25,1
RX0242,6,7,4,8,14,18,63.78,69.63,82.3,0
RX0243,6,7,6,8,16,16,81.53,81.98,98.95,1
RX0244,6,7,13,14,21,22,89.0,80.67,98.34,1
RX0245,1,7,1,10,5,15,21.43,21.14,54.92,0
RX0246,3,4,8,10,19,19,94.75,83.83,89.45,1
RX0247,1,7,3,10,4,17,30.65,32.36,50.99,0
RX0248,5,7,10,13,9,15,79.28,66.68,60.26,1
RX0249,5,7,4,8,22,23,64.35,72.4,68.06,1
RX0250,2,7,5,13,8,19,42.44,44.35,53.13,0
RX0251,1,5,1,14,2,22,26.74,31.17,48.64,0
RX0252,3,4,10,13,14,18,70.28,62.4,60.32,0
RX0253,1,5,1,13,2,23,39.08,26.63,59.57,0
RX0254,5,7,11,14,17,20,79.54,73.43,61.08,1
RX0255,2,4,11,14,15,16,64.65,53.77,68.56,1
RX0256,1,4,1,12,3,22,28.93,36.95,53.78,0
RX0257,1,7,1,8,10,22,36.74,44.35,54.83,0
RX0258,1,4,4,11,2,17,39.73,29.33,54.85,0
RX0259,5,6,7,10,21,23,66.63,50.13,79.02,1
RX0260,5,5,7,8,16,19,93.57,93.91,97.63,1
RX0261,6,7,8,12,16,18,63.46,68.05,82.15,0
RX0262,3,4,11,12,19,24,55.01,54.53,69.69,0
RX0263,2,6,3,12,5,22,37.4,36.84,51.21,0
RX0264,5,7,8,13,16,17,50.69,58.05,75.91,0
RX0265,4,7,7,11,16,20,73.66,62.93,71.0,1
RX0266,3,6,8,14,15,16,56.62,64.96,78.39,0
RX0267,7,7,10,12,13,15,92.72,94.64,86.78,1
RX0268,4,6,8,11,20,21,78.51,55.07,74.14,1
RX0269,3,6,6,10,16,20,70.93,73.24,79.56,0
RX0270,4,6,7,9,15,19,63.85,62.02,70.88,1
RX0271,7,7,8,9,20,21,89.93,85.92,95.94,1
RX0272,3,4,10,13,16,23,69.71,73.92,61.72,1
RX0273,4,5,8,11,19,21,79.25,59.28,70.72,0
RX0274,5,5,6,8,18,18,80.93,90.49,93.43,1
RX0275,7,7,8,8,19,21,98.0,75.55,94.96,1
RX0276,1,7,2,12,8,24,27.8,41.92,59.63,0
RX0277,2,4,9,14,18,19,60.15,57.72,83.68,1
RX0278,3,4,7,8,19,19,88.36,77.22,95.26,1
RX0279,4,4,10,12,16,16,94.46,76.69,95.62,1
RX0280,5,5,12,13,13,16,88.57,78.52,94.96,1
RX0281,5,5,9,9,19,21,85.81,94.67,86.68,1
RX0282,1,5,4,10,7,17,34.92,30.19,57.44,0
RX0283,4,6,10,11,15,20,76.12,55.97,71.28,1
RX0284,2,4,5,9,15,22,77.28,63.47,72.45,1
RX0285,1,7,3,8,3,16,43.27,48.93,44.08,0
RX0286,4,7,10,11,18,19,73.94,59.9,82.88,1
RX0287,4,5,9,11,15,16,68.4,59.08,82.43,0
RX0288,3,4,6,8,17,22,71.98,70.51,67.83,1
RX0289,4,5,9,10,19,23,79.01,60.44,84.6,0
RX0290,3,4,9,11,13,20,62.82,54.06,60.32,0
RX0291,1,4,1,11,2,18,26.29,31.37,59.47,0
RX0292,4,4,12,13,19,20,95.19,99.7,98.52,1
RX0293,4,4,8,9,17,17,86.7,79.34,95.68,1
RX0294,3,5,9,12,11,18,60.44,61.26,78.72,0
RX0295,2,7,1,13,4,19,34.14,49.37,52.68,0
RX0296,7,7,9,9,22,22,81.39,79.37,97.84,1
RX0297,6,7,14,14,17,17,97.33,80.39,90.41,1
RX0298,5,6,10,12,16,18,98.07,80.82,97.11,1
RX0299,6,6,8,10,19,20,80.0,79.23,90.85,1
RX0300,4,5,10,11,15,22,62.38,70.06,71.98,0
RX0301,7,7,12,13,19,20,82.55,92.69,99.59,1
RX0302,1,5,1,10,5,18,48.88,41.8,46.1,0
RX0303,1,4,3,11,6,18,26.55,23.61,41.37,0
RX0304,4,5,6,8,18,19,84.53,93.26,93.98,1
RX0305,2,7,1,9,9,20,49.67,38.79,50.63,0
RX0306,3,4,10,13,12,17,79.86,71.39,73.04,0
RX0307,6,6,6,8,20,23,80.65,96.71,85.97,1
RX0308,6,7,14,14,22,22,98.21,86.61,87.06,1
RX0309,1,5,1,11,8,20,48.44,33.36,55.78,0
RX0310,1,7,4,14,6,18,43.6,49.12,45.25,0
RX0311,5,6,4,8,19,22,62.21,72.29,60.07,0
RX0312,3,5,9,10,14,24,63.51,61.82,75.56,1
RX0313,1,7,4,11,5,15,36.11,45.62,40.99,0
RX0314,2,7,2,8,5,21,33.16,26.56,47.94,0
RX0315,3,5,7,8,11,19,68.51,52.85,68.63,0
RX0316,1,4,5,14,3,17,23.94,28.24,47.89,0
RX0317,2,7,5,12,5,15,41.55,48.62,54.43,0
RX0318,6,6,13,14,18,21,92.08,92.16,86.72,1
RX0319,2,4,7,11,13,19,67.89,63.74,82.51,1
RX0320,5,6,6,8,15,16,69.38,66.16,82.2,0
RX0321,4,5,7,10,21,23,54.63,54.3,75.95,0
RX0322,3,4,9,10,14,22,50.35,60.55,67.38,0
RX0323,1,4,2,14,5,19,44.24,26.48,49.33,0
RX0324,5,5,11,12,16,16,93.46,81.88,89.59,1
RX0325,4,5,7,11,12,17,75.73,72.92,70.77,1
RX0326,2,7,3,9,6,23,41.17,40.65,47.49,0
RX0327,6,6,10,12,14,15,83.09,75.64,94.69,1
RX0328,1,6,3,14,1,15,40.31,38.17,47.29,0
RX0329,2,4,6,11,13,16,56.85,74.44,73.3,0
RX0330,4,6,9,13,16,24,50.7,68.91,71.46,1
RX0331,3,4,11,12,18,24,64.22,61.1,84.87,0
RX0332,3,4,10,10,15,18,87.71,83.51,93.12,1
RX0333,3,4,11,12,17,20,96.67,86.01,89.53,1
RX0334,6,6,6,8,19,19,96.61,88.62,87.48,1
RX0335,1,7,1,10,3,16,26.22,43.47,54.69,0
RX0336,5,7,7,8,16,24,56.04,59.88,60.99,0
RX0337,7,7,10,10,17,19,94.44,88.33,98.05,1
RX0338,4,5,12,14,15,15,85.52,96.93,99.16,1
RX0339,5,6,8,9,19,21,89.83,88.06,93.44,1
RX0340,1,6,4,10,3,23,37.32,45.97,59.61,0
RX0341,6,7,11,14,14,21,56.01,52.73,81.35,0
RX0342,3,4,10,10,19,20,88.97,87.76,94.4,1
RX0343,2,6,2,9,3,20,40.78,24.03,45.99,0
RX0344,3,4,9,10,15,23,79.93,66.92,80.71,0
RX0345,5,6,7,8,17,23,72.21,53.57,78.84,0
RX0346,5,6,11,11,15,16,81.77,87.19,86.16,1
RX0347,4,6,8,10,15,22,68.96,64.43,77.44,0
RX0348,5,6,12,13,19,22,90.01,94.86,95.61,1
RX0349,4,5,10,12,15,16,62.04,57.31,63.81,0
RX0350,1,5,5,12,1,21,36.47,26.58,40.67,0
RX0351,1,4,1,10,6,23,25.64,41.59,57.34,0
RX0352,4,5,10,13,17,18,65.79,61.58,65.87,0
RX0353,1,5,4,13,8,21,28.14,34.9,45.69,0
RX0354,5,7,10,14,13,23,59.53,50.0,72.78,1
RX0355,5,7,7,13,19,21,75.18,50.1,66.17,0
RX0356,6,7,6,8,14,17,96.85,82.83,96.83,1
RX0357,1,6,1,10,8,20,48.92,22.68,53.74,0
RX0358,2,4,8,11,20,23,70.28,53.48,66.36,0
RX0359,3,4,11,11,15,15,94.05,82.45,86.58,1
RX0360,2,6,2,12,5,15,34.96,31.55,57.32,0
RX0361,2,6,2,9,4,17,20.09,45.77,43.72,0
RX0362,4,4,13,14,20,23,97.4,93.26,94.72,1
RX0363,5,6,11,12,23,23,98.62,78.14,96.06,1
RX0364,4,7,6,11,14,18,58.62,59.19,61.45,1
RX0365,3,5,10,11,18,24,77.33,70.96,77.73,1
RX0366,3,6,8,10,12,20,77.18,56.67,78.12,0
RX0367,5,7,7,13,16,18,73.22,69.32,73.03,1
RX0368,1,5,2,12,2,23,25.45,33.07,46.64,0
RX0369,3,4,9,9,15,18,87.43,75.03,89.5,1
RX0370,6,6,14,14,23,23,97.97,94.58,96.71,1
RX0371,4,5,11,11,20,23,84.93,87.1,96.21,1
RX0372,2,7,2,11,9,22,27.17,35.92,53.02,0
RX0373,2,6,2,11,1,23,26.76,25.87,42.82,0
RX0374,3,4,6,10,12,17,79.45,63.18,82.66,0
RX0375,1,6,3,8,6,18,28.72,34.1,57.8,0
RX0376,5,5,7,9,13,16,89.95,80.76,85.67,1
RX0377,5,5,9,10,21,24,99.25,90.52,98.93,1
RX0378,4,5,6,9,15,17,75.92,62.03,82.44,1
RX0379,4,4,8,10,15,16,87.84,91.48,86.63,1
RX0380,2,7,2,10,5,23,33.11,37.81,41.46,0
RX0381,4,5,10,13,14,17,77.24,73.59,84.0,0
RX0382,3,5,8,12,16,22,57.42,66.02,76.67,0
RX0383,3,5,10,13,17,23,50.27,58.93,83.15,1
RX0384,1,6,2,9,8,21,44.25,27.61,44.92,0
RX0385,6,6,10,12,24,24,85.78,84.95,98.79,1
RX0386,1,4,1,8,1,21,39.06,22.72,40.65,0
RX0387,1,4,3,14,1,24,43.63,27.53,51.28,0
RX0388,1,5,1,11,1,16,25.75,47.55,42.04,0
RX0389,5,6,4,8,12,19,78.69,53.7,76.99,0
RX0390,6,7,10,10,18,19,86.53,95.99,87.16,1
RX0391,1,6,2,14,5,22,32.58,43.41,49.53,0
RX0392,1,5,1,11,9,22,28.87,37.81,40.66,0
RX0393,2,4,7,11,14,17,63.8,52.38,80.67,0
RX0394,7,7,11,12,17,18,90.31,86.58,85.68,1
RX0395,1,4,5,12,9,23,37.71,21.84,47.24,0
RX0396,5,5,14,14,17,20,86.08,80.76,85.02,1
RX0397,2,7,2,11,7,17,39.22,32.48,55.18,0
RX0398,4,5,11,13,15,23,55.45,59.27,82.55,1
RX0399,2,7,5,13,5,20,24.49,31.42,48.29,0
RX0400,4,5,7,10,13,23,78.57,51.06,66.63,1
RX0401,1,4,1,10,6,19,43.42,41.25,43.44,0
RX0402,3,4,9,9,20,21,96.07,78.05,86.88,1
RX0403,4,5,7,8,20,23,82.84,80.33,94.98,1
RX0404,5,6,12,14,21,21,89.93,84.51,87.45,1
RX0405,2,4,9,10,15,17,71.11,74.26,70.94,1
RX0406,1,4,2,10,1,23,49.01,21.55,50.1,0
RX0407,2,7,3,12,4,17,26.8,46.38,56.18,0
RX0408,2,7,2,14,6,22,40.18,43.9,45.01,0
RX0409,2,6,3,14,2,17,27.43,24.88,43.74,0
RX0410,2,4,9,12,14,15,60.02,68.32,70.11,1
RX0411,1,4,2,13,3,23,40.33,22.16,44.11,0
RX0412,1,7,4,12,7,20,38.97,25.97,48.37,0
RX0413,3,4,10,11,14,22,78.24,72.87,60.29,1
RX0414,4,5,8,9,21,24,99.58,88.89,87.85,1
RX0415,3,4,8,8,15,17,90.34,93.5,94.46,1
RX0416,4,5,7,9,18,21,55.16,73.14,61.71,0
RX0417,6,7,8,11,14,16,69.25,67.59,69.33,0
RX0418,2,4,7,13,12,18,67.93,71.65,83.67,1
RX0419,4,5,14,14,19,20,97.66,80.07,93.81,1
RX0420,3,5,10,12,9,15,61.57,73.41,73.55,0
RX0421,5,5,6,8,24,24,93.45,99.43,86.53,1
RX0422,4,6,7,9,12,18,52.53,70.18,81.53,1
RX0423,5,6,9,10,17,17,84.58,88.67,95.06,1
RX0424,4,7,8,14,17,19,51.5,72.79,60.74,0
RX0425,4,5,9,10,21,22,89.18,93.32,94.1,1
RX0426,2,7,2,13,6,16,31.5,34.81,45.67,0
RX0427,4,6,7,13,19,21,79.63,57.29,79.27,0
RX0428,4,4,8,10,18,21,97.3,97.88,97.9,1
RX0429,6,7,8,12,19,24,62.83,61.06,76.23,0
RX0430,2,7,3,9,9,20,26.03,37.71,48.15,0
RX0431,1,5,4,11,3,15,32.29,39.66,45.2,0
RX0432,3,4,11,12,10,15,78.28,68.67,78.01,0
RX0433,2,6,1,12,4,18,27.5,35.45,50.71,0
RX0434,3,4,7,9,19,21,98.28,98.82,89.9,1
RX0435,3,4,7,9,9,15,53.08,59.82,73.83,0
RX0436,1,5,2,8,2,19,46.53,30.34,49.24,0
RX0437,2,4,7,13,17,19,55.38,67.35,65.74,0
RX0438,3,4,11,12,17,19,95.79,82.42,93.12,1
RX0439,3,4,9,10,16,24,57.25,58.86,62.63,1
RX0440,3,4,8,11,18,21,57.31,56.69,68.39,1
RX0441,1,4,3,8,6,15,46.14,40.37,48.24,0
RX0442,2,4,6,9,14,17,76.12,65.79,73.31,0
RX0443,4,4,10,12,21,21,99.61,87.81,86.71,1
RX0444,2,4,9,14,13,15,73.29,65.28,81.43,0
RX0445,5,6,10,12,24,24,97.63,93.28,95.46,1
RX0446,3,4,11,13,17,17,86.67,94.79,91.77,1
