attendance,punctuality,sprint_completion,task_quality,deadline_met,communication,collaboration,initiative_score,performance
50.46,0,25.0,36.62,49.08,21.052631578947366,18.94736842105263,38.46153846153847,Poor
96.06,100,100.0,93.94,84.61,80.0,72.0,100.0,Good
49.27,0,28.57142857142857,28.32,25.64,22.727272727272727,20.454545454545453,30.76923076923077,Poor
60.81,0,71.42857142857143,57.8,61.33,57.89473684210527,52.10526315789474,81.81818181818183,Average
93.72,100,100.0,98.81,85.42,82.35294117647058,74.11764705882352,83.33333333333334,Good
92.21,100,100.0,88.23,94.44,94.73684210526315,85.26315789473684,92.3076923076923,Good
56.77,0,25.0,49.1,45.26,37.5,33.75,10.0,Poor
73.36,0,50.0,52.26,67.29,94.73684210526315,85.26315789473684,57.14285714285714,Average
66.03,0,50.0,72.71,59.45,78.94736842105263,71.05263157894737,85.71428571428571,Average
61.17,0,50.0,76.35,68.92,83.33333333333334,75.00000000000001,91.66666666666666,Average
56.33,0,20.0,44.94,29.23,30.0,27.0,22.22222222222222,Poor
96.77,100,100.0,89.6,85.51,100.0,90.0,80.0,Good
74.75,100,60.0,50.44,58.76,95.0,85.5,80.0,Average
47.93,0,16.666666666666664,35.42,43.51,5.555555555555555,5.0,14.285714285714285,Poor
49.84,0,20.0,24.41,47.8,26.31578947368421,23.684210526315788,10.0,Poor
87.28,100,100.0,82.58,78.2,94.11764705882352,84.70588235294117,91.66666666666666,Good
64.81,0,57.14285714285714,70.03,54.31,70.58823529411765,63.52941176470589,90.0,Average
90.34,100,100.0,90.97,88.36,85.0,76.5,90.9090909090909,Good
62.04,100,60.0,73.98,65.7,95.65217391304348,86.08695652173914,61.53846153846154,Average
43.69,0,33.33333333333333,44.19,42.45,16.666666666666664,14.999999999999998,8.333333333333332,Poor
42.95,0,16.666666666666664,41.62,21.87,38.095238095238095,34.285714285714285,15.384615384615385,Poor
42.1,0,16.666666666666664,30.62,31.91,12.5,11.25,42.857142857142854,Poor
50.71,0,25.0,45.22,22.68,42.857142857142854,38.57142857142857,18.181818181818183,Poor
86.3,100,75.0,95.78,87.46,88.88888888888889,80.0,81.81818181818183,Good
45.68,0,20.0,32.95,23.83,36.36363636363637,32.727272727272734,33.33333333333333,Poor
62.54,100,71.42857142857143,68.17,55.93,81.81818181818183,73.63636363636364,77.77777777777779,Average
60.46,0,66.66666666666666,75.27,51.29,86.36363636363636,77.72727272727272,70.0,Average
43.42,0,20.0,44.51,27.74,38.88888888888889,35.00000000000001,33.33333333333333,Poor
43.74,0,20.0,28.4,43.08,45.45454545454545,40.90909090909091,25.0,Poor
79.19,100,85.71428571428571,65.9,67.68,55.55555555555556,50.0,54.54545454545454,Average
93.23,100,80.0,87.38,86.36,82.35294117647058,74.11764705882352,85.71428571428571,Good
62.92,0,71.42857142857143,54.16,50.07,55.55555555555556,50.0,66.66666666666666,Poor
83.32,0,83.33333333333334,72.38,60.21,84.21052631578947,75.78947368421052,53.84615384615385,Average
96.72,100,100.0,94.43,76.2,100.0,90.0,100.0,Good
52.68,0,25.0,25.59,27.07,29.411764705882355,26.47058823529412,33.33333333333333,Poor
69.42,0,57.14285714285714,74.5,60.98,60.86956521739131,54.78260869565218,66.66666666666666,Average
92.98,100,80.0,87.11,84.79,80.0,72.0,100.0,Good
90.02,100,100.0,98.8,90.69,88.23529411764706,79.41176470588235,100.0,Good
54.14,0,16.666666666666664,49.93,42.57,19.047619047619047,17.142857142857142,25.0,Poor
46.84,0,16.666666666666664,42.87,46.3,10.0,9.0,30.76923076923077,Poor
63.75,0,50.0,61.92,69.93,72.72727272727273,65.45454545454547,78.57142857142857,Average
90.19,100,80.0,90.85,81.29,100.0,90.0,100.0,Good
52.3,0,20.0,32.71,28.64,40.0,36.0,22.22222222222222,Poor
83.3,100,75.0,50.54,71.8,56.52173913043478,50.869565217391305,61.53846153846154,Average
86.16,100,85.71428571428571,87.49,76.72,100.0,90.0,92.85714285714286,Good
80.97,100,57.14285714285714,53.4,74.62,57.14285714285714,51.42857142857142,69.23076923076923,Average
47.59,0,25.0,26.82,38.24,35.0,31.5,37.5,Poor
93.06,100,100.0,86.67,84.95,89.47368421052632,80.52631578947368,81.81818181818183,Good
44.49,0,20.0,42.13,33.57,18.75,16.875,33.33333333333333,Poor
55.61,0,33.33333333333333,21.02,29.34,33.33333333333333,29.999999999999996,37.5,Poor
42.97,0,20.0,25.34,48.83,5.263157894736842,4.7368421052631575,22.22222222222222,Poor
69.93,0,80.0,58.99,57.75,59.09090909090909,53.18181818181819,85.71428571428571,Average
51.75,0,14.285714285714285,31.33,45.1,33.33333333333333,29.999999999999996,38.46153846153847,Poor
93.39,100,80.0,88.82,85.02,87.5,78.75,92.85714285714286,Good
56.01,0,14.285714285714285,46.92,35.8,41.66666666666667,37.50000000000001,25.0,Poor
43.92,0,28.57142857142857,36.55,27.62,4.545454545454546,4.090909090909092,33.33333333333333,Poor
54.42,0,25.0,46.62,36.7,15.789473684210526,14.210526315789473,7.6923076923076925,Poor
45.86,0,28.57142857142857,40.04,26.15,22.22222222222222,20.0,23.076923076923077,Poor
74.58,100,66.66666666666666,50.8,54.54,76.19047619047619,68.57142857142857,57.14285714285714,Average
74.76,100,60.0,57.78,59.49,66.66666666666666,59.99999999999999,85.71428571428571,Average
96.45,100,100.0,85.89,98.71,81.25,73.125,84.61538461538461,Good
92.69,100,100.0,83.64,87.12,100.0,90.0,90.0,Good
99.77,100,100.0,82.79,95.87,85.71428571428571,77.14285714285714,83.33333333333334,Good
80.38,0,50.0,74.68,63.24,68.42105263157895,61.578947368421055,77.77777777777779,Average
63.5,0,60.0,71.61,52.66,65.0,58.5,58.333333333333336,Average
91.28,100,100.0,83.51,97.86,86.95652173913044,78.26086956521739,90.0,Good
79.27,0,80.0,55.53,52.26,70.0,63.0,88.88888888888889,Average
94.96,100,100.0,91.33,86.9,100.0,90.0,80.0,Good
61.29,100,60.0,57.87,64.88,88.88888888888889,80.0,62.5,Average
47.03,0,25.0,34.23,30.33,43.47826086956522,39.130434782608695,20.0,Poor
85.04,100,75.0,81.52,76.94,95.65217391304348,86.08695652173914,90.0,Good
42.74,0,20.0,22.75,47.52,29.411764705882355,26.47058823529412,15.384615384615385,Poor
76.47,100,50.0,71.97,70.16,68.18181818181817,61.36363636363636,75.0,Average
77.64,0,57.14285714285714,78.32,50.99,91.66666666666666,82.5,55.55555555555556,Average
89.46,100,100.0,80.68,92.44,95.83333333333334,86.25000000000001,91.66666666666666,Good
76.11,100,83.33333333333334,63.65,63.06,88.88888888888889,80.0,66.66666666666666,Good
54.5,0,14.285714285714285,40.89,30.2,18.75,16.875,36.36363636363637,Poor
48.54,0,33.33333333333333,42.14,35.61,45.0,40.5,12.5,Poor
69.6,100,60.0,50.01,54.64,87.5,78.75,70.0,Average
51.62,0,16.666666666666664,21.13,34.39,33.33333333333333,29.999999999999996,30.76923076923077,Poor
40.07,0,25.0,35.68,41.97,30.434782608695656,27.39130434782609,22.22222222222222,Poor
85.27,100,100.0,84.67,76.05,88.88888888888889,80.0,92.3076923076923,Good
79.95,0,50.0,53.73,73.91,86.95652173913044,78.26086956521739,57.14285714285714,Average
44.63,0,28.57142857142857,25.01,49.74,9.090909090909092,8.181818181818183,42.857142857142854,Poor
87.8,100,100.0,83.53,80.51,95.83333333333334,86.25000000000001,100.0,Good
59.9,0,28.57142857142857,46.51,47.83,35.0,31.5,41.66666666666667,Poor
91.95,100,100.0,99.93,97.44,87.5,78.75,90.0,Good
98.16,100,85.71428571428571,91.6,77.29,100.0,90.0,85.71428571428571,Good
46.58,0,33.33333333333333,45.57,21.06,5.88235294117647,5.294117647058823,8.333333333333332,Poor
95.85,100,75.0,87.45,81.49,100.0,90.0,90.0,Good
72.01,0,80.0,75.54,62.38,78.94736842105263,71.05263157894737,83.33333333333334,Average
54.68,0,20.0,36.31,45.93,9.090909090909092,8.181818181818183,40.0,Poor
53.98,0,28.57142857142857,47.9,23.18,39.130434782608695,35.21739130434783,9.090909090909092,Poor
42.58,0,25.0,20.88,44.77,37.5,33.75,10.0,Poor
40.13,0,25.0,44.96,35.22,11.11111111111111,10.0,15.384615384615385,Poor
93.1,100,80.0,85.2,90.85,100.0,90.0,75.0,Good
52.65,0,28.57142857142857,48.89,30.26,42.857142857142854,38.57142857142857,20.0,Poor
64.16,100,50.0,73.13,73.68,94.44444444444444,85.0,76.92307692307693,Average
84.75,0,75.0,52.24,71.31,65.0,58.5,53.84615384615385,Average
97.32,100,100.0,87.67,76.64,83.33333333333334,75.00000000000001,100.0,Good
59.94,0,33.33333333333333,33.38,28.21,29.166666666666668,26.25,30.0,Poor
86.24,100,83.33333333333334,93.87,80.52,85.71428571428571,77.14285714285714,100.0,Good
78.28,0,71.42857142857143,78.9,50.78,58.82352941176471,52.94117647058824,80.0,Average
98.41,100,100.0,99.68,85.23,86.95652173913044,78.26086956521739,100.0,Good
49.43,0,20.0,41.45,36.88,6.666666666666667,6.0,25.0,Poor
56.9,0,28.57142857142857,43.3,43.13,33.33333333333333,29.999999999999996,7.6923076923076925,Poor
49.63,0,16.666666666666664,38.5,43.9,45.45454545454545,40.90909090909091,9.090909090909092,Poor
64.02,100,50.0,66.75,55.64,72.22222222222221,65.0,76.92307692307693,Average
69.81,100,50.0,50.35,51.81,59.09090909090909,53.18181818181819,88.88888888888889,Average
54.49,0,33.33333333333333,48.58,47.23,4.3478260869565215,3.9130434782608696,10.0,Poor
55.52,0,14.285714285714285,26.31,30.38,30.0,27.0,12.5,Poor
61.96,100,57.14285714285714,60.52,50.83,60.0,54.0,55.55555555555556,Average
53.41,0,20.0,44.64,21.24,8.333333333333332,7.499999999999999,15.384615384615385,Poor
50.83,0,25.0,48.09,21.56,45.0,40.5,30.0,Poor
79.6,0,71.42857142857143,66.59,64.94,71.42857142857143,64.28571428571429,81.81818181818183,Average
49.59,0,16.666666666666664,37.8,39.51,37.5,33.75,18.181818181818183,Poor
53.17,0,20.0,25.46,43.69,27.77777777777778,25.0,30.0,Poor
49.87,0,28.57142857142857,29.97,36.27,35.294117647058826,31.764705882352946,15.384615384615385,Poor
64.35,0,83.33333333333334,56.11,71.01,90.0,81.0,91.66666666666666,Average
50.1,0,20.0,42.06,43.03,21.052631578947366,18.94736842105263,33.33333333333333,Poor
74.94,100,50.0,61.87,65.15,75.0,67.5,87.5,Average
71.65,0,66.66666666666666,60.77,59.6,79.16666666666666,71.25,80.0,Average
44.75,0,25.0,47.27,25.39,18.181818181818183,16.363636363636367,20.0,Poor
70.13,100,60.0,63.11,52.43,80.0,72.0,91.66666666666666,Average
47.98,0,25.0,39.56,29.36,28.57142857142857,25.71428571428571,18.181818181818183,Poor
44.69,0,25.0,31.9,27.11,36.36363636363637,32.727272727272734,8.333333333333332,Poor
75.43,0,66.66666666666666,62.93,56.22,91.66666666666666,82.5,61.53846153846154,Average
97.66,100,100.0,93.28,86.87,94.73684210526315,85.26315789473684,81.81818181818183,Good
44.62,0,33.33333333333333,49.6,23.69,11.11111111111111,10.0,27.27272727272727,Poor
72.68,100,50.0,78.02,57.9,80.0,72.0,71.42857142857143,Average
71.37,0,57.14285714285714,69.17,71.7,56.25,50.625,88.88888888888889,Average
42.87,0,20.0,23.77,23.98,20.0,18.0,28.57142857142857,Poor
65.86,0,80.0,71.92,53.9,57.89473684210527,52.10526315789474,64.28571428571429,Average
81.62,0,66.66666666666666,57.32,70.77,61.904761904761905,55.714285714285715,75.0,Average
47.88,0,14.285714285714285,26.47,39.77,6.666666666666667,6.0,30.76923076923077,Poor
91.1,100,100.0,80.96,99.43,100.0,90.0,92.3076923076923,Good
89.91,100,75.0,97.57,85.1,95.65217391304348,86.08695652173914,100.0,Good
63.01,100,66.66666666666666,63.07,70.45,82.6086956521739,74.34782608695652,66.66666666666666,Average
50.97,0,25.0,36.9,31.41,29.166666666666668,26.25,8.333333333333332,Poor
94.64,100,100.0,91.74,79.21,90.0,81.0,100.0,Good
60.64,100,60.0,65.57,61.98,87.5,78.75,60.0,Average
96.2,100,85.71428571428571,87.89,88.74,94.44444444444444,85.0,77.77777777777779,Good
58.54,0,16.666666666666664,46.94,27.3,23.809523809523807,21.428571428571427,25.0,Poor
45.7,0,14.285714285714285,34.58,27.7,37.5,33.75,25.0,Poor
45.45,0,25.0,38.31,41.48,11.76470588235294,10.588235294117647,28.57142857142857,Poor
62.67,100,75.0,65.75,67.73,83.33333333333334,75.00000000000001,80.0,Average
94.5,100,100.0,91.0,76.09,90.47619047619048,81.42857142857143,90.9090909090909,Good
44.24,0,25.0,46.53,26.84,25.0,22.5,42.857142857142854,Poor
66.39,100,71.42857142857143,73.1,63.92,87.5,78.75,50.0,Average
71.29,100,85.71428571428571,52.87,65.6,95.23809523809523,85.71428571428571,81.81818181818183,Good
89.68,100,83.33333333333334,90.71,79.46,93.33333333333333,84.0,90.0,Good
42.73,0,14.285714285714285,34.9,49.63,39.130434782608695,35.21739130434783,20.0,Poor
86.93,100,80.0,93.85,99.78,85.71428571428571,77.14285714285714,88.88888888888889,Good
43.84,0,28.57142857142857,22.57,46.83,19.047619047619047,17.142857142857142,15.384615384615385,Poor
97.01,100,100.0,90.38,76.69,83.33333333333334,75.00000000000001,100.0,Good
43.81,0,14.285714285714285,26.92,33.71,35.294117647058826,31.764705882352946,15.384615384615385,Poor
74.51,100,66.66666666666666,63.39,58.34,64.70588235294117,58.23529411764706,53.84615384615385,Average
91.76,100,75.0,90.72,77.42,95.65217391304348,86.08695652173914,100.0,Good
96.06,100,100.0,99.48,75.5,100.0,90.0,100.0,Good
94.13,100,100.0,95.76,96.62,90.0,81.0,91.66666666666666,Good
68.66,0,71.42857142857143,60.25,59.52,66.66666666666666,59.99999999999999,83.33333333333334,Average
98.79,100,75.0,92.01,87.89,90.47619047619048,81.42857142857143,90.0,Good
50.79,0,33.33333333333333,35.03,31.92,11.11111111111111,10.0,9.090909090909092,Poor
86.21,100,100.0,95.8,82.62,95.0,85.5,88.88888888888889,Good
98.99,100,100.0,99.15,89.33,88.23529411764706,79.41176470588235,90.0,Good
79.12,0,50.0,64.61,65.16,88.88888888888889,80.0,53.84615384615385,Average
42.7,0,16.666666666666664,22.05,20.77,10.526315789473683,9.473684210526315,7.6923076923076925,Poor
85.0,100,100.0,85.56,96.29,88.88888888888889,80.0,81.81818181818183,Good
49.2,0,20.0,21.84,43.42,41.17647058823529,37.05882352941176,33.33333333333333,Poor
61.87,100,60.0,62.91,54.27,95.45454545454545,85.9090909090909,55.55555555555556,Average
65.82,100,60.0,69.0,55.72,80.0,72.0,78.57142857142857,Average
91.75,100,100.0,82.61,97.17,90.47619047619048,81.42857142857143,90.9090909090909,Good
88.73,100,83.33333333333334,87.74,99.1,85.71428571428571,77.14285714285714,90.0,Good
75.47,0,50.0,70.43,54.74,63.1578947368421,56.84210526315789,92.3076923076923,Average
90.57,100,100.0,81.29,76.07,89.47368421052632,80.52631578947368,83.33333333333334,Good
87.25,100,85.71428571428571,81.96,87.21,100.0,90.0,85.71428571428571,Good
82.3,0,85.71428571428571,63.78,69.63,77.77777777777779,70.00000000000001,50.0,Average
98.95,100,85.71428571428571,81.53,81.98,100.0,90.0,75.0,Good
98.34,100,85.71428571428571,89.0,80.67,95.45454545454545,85.9090909090909,92.85714285714286,Good
54.92,0,14.285714285714285,21.43,21.14,33.33333333333333,29.999999999999996,10.0,Poor
89.45,100,75.0,94.75,83.83,100.0,90.0,80.0,Good
50.99,0,14.285714285714285,30.65,32.36,23.52941176470588,21.176470588235293,30.0,Poor
60.26,100,71.42857142857143,79.28,66.68,60.0,54.0,76.92307692307693,Average
68.06,100,71.42857142857143,64.35,72.4,95.65217391304348,86.08695652173914,50.0,Average
53.13,0,28.57142857142857,42.44,44.35,42.10526315789473,37.89473684210526,38.46153846153847,Poor
48.64,0,20.0,26.74,31.17,9.090909090909092,8.181818181818183,7.142857142857142,Poor
60.32,0,75.0,70.28,62.4,77.77777777777779,70.00000000000001,76.92307692307693,Average
59.57,0,20.0,39.08,26.63,8.695652173913043,7.826086956521739,7.6923076923076925,Poor
61.08,100,71.42857142857143,79.54,73.43,85.0,76.5,78.57142857142857,Good
68.56,100,50.0,64.65,53.77,93.75,84.375,78.57142857142857,Average
53.78,0,25.0,28.93,36.95,13.636363636363635,12.272727272727272,8.333333333333332,Poor
54.83,0,14.285714285714285,36.74,44.35,45.45454545454545,40.90909090909091,12.5,Poor
54.85,0,25.0,39.73,29.33,11.76470588235294,10.588235294117647,36.36363636363637,Poor
79.02,100,83.33333333333334,66.63,50.13,91.30434782608695,82.17391304347827,70.0,Good
97.63,100,100.0,93.57,93.91,84.21052631578947,75.78947368421052,87.5,Good
82.15,0,85.71428571428571,63.46,68.05,88.88888888888889,80.0,66.66666666666666,Average
69.69,0,75.0,55.01,54.53,79.16666666666666,71.25,91.66666666666666,Average
51.21,0,33.33333333333333,37.4,36.84,22.727272727272727,20.454545454545453,25.0,Poor
75.91,0,71.42857142857143,50.69,58.05,94.11764705882352,84.70588235294117,61.53846153846154,Average
71.0,100,57.14285714285714,73.66,62.93,80.0,72.0,63.63636363636363,Average
78.39,0,50.0,56.62,64.96,93.75,84.375,57.14285714285714,Average
86.78,100,100.0,92.72,94.64,86.66666666666667,78.0,83.33333333333334,Good
74.14,100,66.66666666666666,78.51,55.07,95.23809523809523,85.71428571428571,72.72727272727273,Good
79.56,0,50.0,70.93,73.24,80.0,72.0,60.0,Average
70.88,100,66.66666666666666,63.85,62.02,78.94736842105263,71.05263157894737,77.77777777777779,Average
95.94,100,100.0,89.93,85.92,95.23809523809523,85.71428571428571,88.88888888888889,Good
61.72,100,75.0,69.71,73.92,69.56521739130434,62.608695652173914,76.92307692307693,Average
70.72,0,80.0,79.25,59.28,90.47619047619048,81.42857142857143,72.72727272727273,Average
93.43,100,100.0,80.93,90.49,100.0,90.0,75.0,Good
94.96,100,100.0,98.0,75.55,90.47619047619048,81.42857142857143,100.0,Good
59.63,0,14.285714285714285,27.8,41.92,33.33333333333333,29.999999999999996,16.666666666666664,Poor
83.68,100,50.0,60.15,57.72,94.73684210526315,85.26315789473684,64.28571428571429,Average
95.26,100,75.0,88.36,77.22,100.0,90.0,87.5,Good
95.62,100,100.0,94.46,76.69,100.0,90.0,83.33333333333334,Good
94.96,100,100.0,88.57,78.52,81.25,73.125,92.3076923076923,Good
86.68,100,100.0,85.81,94.67,90.47619047619048,81.42857142857143,100.0,Good
57.44,0,20.0,34.92,30.19,41.17647058823529,37.05882352941176,40.0,Poor
71.28,100,66.66666666666666,76.12,55.97,75.0,67.5,90.9090909090909,Average
72.45,100,50.0,77.28,63.47,68.18181818181817,61.36363636363636,55.55555555555556,Average
44.08,0,14.285714285714285,43.27,48.93,18.75,16.875,37.5,Poor
82.88,100,57.14285714285714,73.94,59.9,94.73684210526315,85.26315789473684,90.9090909090909,Good
82.43,0,80.0,68.4,59.08,93.75,84.375,81.81818181818183,Average
67.83,100,75.0,71.98,70.51,77.27272727272727,69.54545454545455,75.0,Good
84.6,0,80.0,79.01,60.44,82.6086956521739,74.34782608695652,90.0,Average
60.32,0,75.0,62.82,54.06,65.0,58.5,81.81818181818183,Average
59.47,0,25.0,26.29,31.37,11.11111111111111,10.0,9.090909090909092,Poor
98.52,100,100.0,95.19,99.7,95.0,85.5,92.3076923076923,Good
95.68,100,100.0,86.7,79.34,100.0,90.0,88.88888888888889,Good
78.72,0,60.0,60.44,61.26,61.111111111111114,55.00000000000001,75.0,Average
52.68,0,28.57142857142857,34.14,49.37,21.052631578947366,18.94736842105263,7.6923076923076925,Poor
97.84,100,100.0,81.39,79.37,100.0,90.0,100.0,Good
90.41,100,85.71428571428571,97.33,80.39,100.0,90.0,100.0,Good
97.11,100,83.33333333333334,98.07,80.82,88.88888888888889,80.0,83.33333333333334,Good
90.85,100,100.0,80.0,79.23,95.0,85.5,80.0,Good
71.98,0,80.0,62.38,70.06,68.18181818181817,61.36363636363636,90.9090909090909,Average
99.59,100,100.0,82.55,92.69,95.0,85.5,92.3076923076923,Good
46.1,0,20.0,48.88,41.8,27.77777777777778,25.0,10.0,Poor
41.37,0,25.0,26.55,23.61,33.33333333333333,29.999999999999996,27.27272727272727,Poor
93.98,100,80.0,84.53,93.26,94.73684210526315,85.26315789473684,75.0,Good
50.63,0,28.57142857142857,49.67,38.79,45.0,40.5,11.11111111111111,Poor
73.04,0,75.0,79.86,71.39,70.58823529411765,63.52941176470589,76.92307692307693,Average
85.97,100,100.0,80.65,96.71,86.95652173913044,78.26086956521739,75.0,Good
87.06,100,85.71428571428571,98.21,86.61,100.0,90.0,100.0,Good
55.78,0,20.0,48.44,33.36,40.0,36.0,9.090909090909092,Poor
45.25,0,14.285714285714285,43.6,49.12,33.33333333333333,29.999999999999996,28.57142857142857,Poor
60.07,0,83.33333333333334,62.21,72.29,86.36363636363636,77.72727272727272,50.0,Average
75.56,100,60.0,63.51,61.82,58.333333333333336,52.5,90.0,Average
40.99,0,14.285714285714285,36.11,45.62,33.33333333333333,29.999999999999996,36.36363636363637,Poor
47.94,0,28.57142857142857,33.16,26.56,23.809523809523807,21.428571428571427,25.0,Poor
68.63,0,60.0,68.51,52.85,57.89473684210527,52.10526315789474,87.5,Average
47.89,0,25.0,23.94,28.24,17.647058823529413,15.882352941176473,35.714285714285715,Poor
54.43,0,28.57142857142857,41.55,48.62,33.33333333333333,29.999999999999996,41.66666666666667,Poor
86.72,100,100.0,92.08,92.16,85.71428571428571,77.14285714285714,92.85714285714286,Good
82.51,100,50.0,67.89,63.74,68.42105263157895,61.578947368421055,63.63636363636363,Average
82.2,0,83.33333333333334,69.38,66.16,93.75,84.375,75.0,Average
75.95,0,80.0,54.63,54.3,91.30434782608695,82.17391304347827,70.0,Average
67.38,0,75.0,50.35,60.55,63.63636363636363,57.27272727272727,90.0,Average
49.33,0,25.0,44.24,26.48,26.31578947368421,23.684210526315788,14.285714285714285,Poor
89.59,100,100.0,93.46,81.88,100.0,90.0,91.66666666666666,Good
70.77,100,80.0,75.73,72.92,70.58823529411765,63.52941176470589,63.63636363636363,Good
47.49,0,28.57142857142857,41.17,40.65,26.08695652173913,23.478260869565215,33.33333333333333,Poor
94.69,100,100.0,83.09,75.64,93.33333333333333,84.0,83.33333333333334,Good
